DSSN Project Experiment on Wednesday April 10, 2019 at 15:07:59

Time, RSSI #1, RSSI #2, RSSI #3, Measurements, True X, True Y, X, Y
Wednesday April 10 2019 at 15:12:51, -48.36, -57.0, -56.2173913043, 25, 17, 18, 11.3061815219, 17.0552706129
Wednesday April 10 2019 at 15:18:12, -49.96, -60.24, -54.8636363636, 25, 17, 18, -16.1230756074, 21.2803316795
